invoice_no,invoice_date,invoice_time,customer_code,customer_name,phone,address,seq,item_code,item_name,unit,qty,unit_price,tax_pct,discount_pct,line_total,is_bonus,month,brand,carton_capacity,carton_units,boxes
b01003,2026-02-01,"",877,مطعم نور الشام,"","",4.0,257,سجق الهنا 5 كيلو طبق,"",1.0,300.0,0.0,0.0,300.0,false,2026-02,الهنا,2 كيس,2.0,0.5
b01004,2026-02-02,"",876,مطعم الدمشقى,01147216173,"",1.0,120,برجر الهنا 900 جرام طبق,"",12.0,58.5,0.0,13.0,610.74,false,2026-02,الهنا,12 كيس,12.0,1.0
b01004,2026-02-02,"",876,مطعم الدمشقى,01147216173,"",2.0,101,كفته الهنا 800 جرام طبق,"",12.0,56.0,0.0,13.0,584.64,false,2026-02,الهنا,12 كيس,12.0,1.0
b01004,2026-02-02,"",876,مطعم الدمشقى,01147216173,"",3.0,397,بانيه 800 جرام اسباشيل كيس,"",12.0,50.0,0.0,0.0,600.0,false,2026-02,اسبشيال,12 كيس,12.0,1.0
b01005,2026-02-02,"",888,محمود العزوني الدار,01221671576,"",1.0,101,كفته الهنا 800 جرام طبق,"",12.0,56.0,0.0,17.0,557.76,false,2026-02,الهنا,12 كيس,12.0,1.0
b01005,2026-02-02,"",888,محمود العزوني الدار,01221671576,"",2.0,102,كفته الهنا 350 طبق,"",15.0,27.5,0.0,17.0,342.37,false,2026-02,الهنا,15 كيس,15.0,1.0
b01006,2026-02-02,"",895,هايبر التوفير م بشري,01007626586,"",1.0,101,كفته الهنا 800 جرام طبق,"",48.0,56.0,0.0,17.0,2231.04,false,2026-02,الهنا,12 كيس,12.0,4.0
b01006,2026-02-02,"",895,هايبر التوفير م بشري,01007626586,"",2.0,120,برجر الهنا 900 جرام طبق,"",48.0,58.5,0.0,17.0,2330.64,false,2026-02,الهنا,12 كيس,12.0,4.0
b01006,2026-02-02,"",895,هايبر التوفير م بشري,01007626586,"",3.0,402,كفته اسبيشيال عائلى طبق,"",12.0,63.75,0.0,17.0,634.95,false,2026-02,اسبشيال,12 كيس,12.0,1.0
b01006,2026-02-02,"",895,هايبر التوفير م بشري,01007626586,"",4.0,404,برجر اسبشيال عائلى طبق,"",12.0,68.75,0.0,17.0,684.75,false,2026-02,اسبشيال,12 كيس,12.0,1.0
b01006,2026-02-02,"",895,هايبر التوفير م بشري,01007626586,"",5.0,397,بانيه 800 جرام اسباشيل كيس,"",48.0,50.0,0.0,0.0,2400.0,false,2026-02,اسبشيال,12 كيس,12.0,4.0
b01007,2026-02-03,"",624,هايبر العابد,"","",1.0,120,برجر الهنا 900 جرام طبق,"",360.0,58.5,0.0,17.0,17479.8,false,2026-02,الهنا,12 كيس,12.0,30.0
b01007,2026-02-03,"",624,هايبر العابد,"","",2.0,101,كفته الهنا 800 جرام طبق,"",240.0,56.0,0.0,17.0,11155.2,false,2026-02,الهنا,12 كيس,12.0,20.0
b01007,2026-02-03,"",624,هايبر العابد,"","",3.0,102,كفته الهنا 350 طبق,"",210.0,27.5,0.0,17.0,4793.25,false,2026-02,الهنا,15 كيس,15.0,14.0
b01007,2026-02-03,"",624,هايبر العابد,"","",4.0,104,برجر الهنا 400 جرام طبق,"",300.0,28.5,0.0,17.0,7096.5,false,2026-02,الهنا,15 كيس,15.0,20.0
b01007,2026-02-03,"",624,هايبر العابد,"","",5.0,108,سجق الهنا 350 طبق,"",300.0,30.0,0.0,17.0,7470.0,false,2026-02,الهنا,15 كيس,15.0,20.0
b01008,2026-02-03,"",624,هايبر العابد,"","",1.0,102,كفته الهنا 350 طبق,"",120.0,0.0,0.0,0.0,0.0,true,2026-02,الهنا,15 كيس,15.0,8.0
b01009,2026-02-04,"",50,م اللفى,01025181968,"",1.0,13,سجق شرقى 3 ك ابو هاشم كيس 3 كيلو,"",200.0,320.0,0.0,0.0,64000.0,false,2026-02,ابوهاشم,4 كيس,4.0,50.0
b01009,2026-02-04,"",50,م اللفى,01025181968,"",2.0,108,سجق الهنا 350 طبق,"",300.0,30.0,0.0,17.0,7470.0,false,2026-02,الهنا,15 كيس,15.0,20.0
b01009,2026-02-04,"",50,م اللفى,01025181968,"",3.0,102,كفته الهنا 350 طبق,"",300.0,27.5,0.0,17.0,6847.5,false,2026-02,الهنا,15 كيس,15.0,20.0
b01010,2026-02-05,"",841,ثلجة العابد ابوهاشم,"","",1.0,7,سجق 350 جم ابو هاشم طبق,"",200.0,45.0,0.0,0.0,9000.0,false,2026-02,ابوهاشم,20 كيس,20.0,10.0
b01011,2026-02-05,"",438,ثلجه السيد الوكيل القرين,01271725565,"",1.0,120,برجر الهنا 900 جرام طبق,"",96.0,58.5,0.0,17.0,4661.28,false,2026-02,الهنا,12 كيس,12.0,8.0
b01011,2026-02-05,"",438,ثلجه السيد الوكيل القرين,01271725565,"",2.0,101,كفته الهنا 800 جرام طبق,"",96.0,56.0,0.0,17.0,4462.08,false,2026-02,الهنا,12 كيس,12.0,8.0
b01011,2026-02-05,"",438,ثلجه السيد الوكيل القرين,01271725565,"",3.0,108,سجق الهنا 350 طبق,"",75.0,30.0,0.0,17.0,1867.5,false,2026-02,الهنا,15 كيس,15.0,5.0
b01011,2026-02-05,"",438,ثلجه السيد الوكيل القرين,01271725565,"",4.0,102,كفته الهنا 350 طبق,"",60.0,27.5,0.0,17.0,1369.5,false,2026-02,الهنا,15 كيس,15.0,4.0
b01012,2026-02-05,"",667,م العزونى,01117965691,"",1.0,104,برجر الهنا 400 جرام طبق,"",15.0,28.5,0.0,15.0,363.37,false,2026-02,الهنا,15 كيس,15.0,1.0
b01012,2026-02-05,"",667,م العزونى,01117965691,"",2.0,102,كفته الهنا 350 طبق,"",15.0,27.5,0.0,15.0,350.62,false,2026-02,الهنا,15 كيس,15.0,1.0
b01013,2026-02-05,"",661,تلجة عبده المام دبيج السرو,01110294169,"",1.0,102,كفته الهنا 350 طبق,"",30.0,27.5,0.0,15.0,701.25,false,2026-02,الهنا,15 كيس,15.0,2.0
b01013,2026-02-05,"",661,تلجة عبده المام دبيج السرو,01110294169,"",2.0,108,سجق الهنا 350 طبق,"",30.0,30.0,0.0,15.0,765.0,false,2026-02,الهنا,15 كيس,15.0,2.0
b01013,2026-02-05,"",661,تلجة عبده المام دبيج السرو,01110294169,"",3.0,104,برجر الهنا 400 جرام طبق,"",15.0,28.5,0.0,15.0,363.37,false,2026-02,الهنا,15 كيس,15.0,1.0
b01013,2026-02-05,"",661,تلجة عبده المام دبيج السرو,01110294169,"",4.0,346,بانيه 800 جرام طبق,"",12.0,50.0,0.0,0.0,600.0,false,2026-02,الهنا,12 كيس,12.0,1.0
b01014,2026-02-05,"",438,ثلجه السيد الوكيل القرين,01271725565,"",1.0,102,كفته الهنا 350 طبق,"",15.0,0.0,0.0,0.0,0.0,false,2026-02,الهنا,15 كيس,15.0,1.0
b01015,2026-02-07,"",502,ثلجه بوجه,01116850495,"",1.0,102,كفته الهنا 350 طبق,"",300.0,27.5,0.0,17.0,6847.5,false,2026-02,الهنا,15 كيس,15.0,20.0
b01015,2026-02-07,"",502,ثلجه بوجه,01116850495,"",2.0,101,كفته الهنا 800 جرام طبق,"",120.0,56.0,0.0,17.0,5577.6,false,2026-02,الهنا,12 كيس,12.0,10.0
b01015,2026-02-07,"",502,ثلجه بوجه,01116850495,"",3.0,104,برجر الهنا 400 جرام طبق,"",75.0,28.5,0.0,17.0,1774.12,false,2026-02,الهنا,15 كيس,15.0,5.0
b01015,2026-02-07,"",502,ثلجه بوجه,01116850495,"",4.0,108,سجق الهنا 350 طبق,"",105.0,30.0,0.0,17.0,2614.5,false,2026-02,الهنا,15 كيس,15.0,7.0
b01015,2026-02-07,"",502,ثلجه بوجه,01116850495,"",5.0,120,برجر الهنا 900 جرام طبق,"",36.0,58.5,0.0,17.0,1747.98,false,2026-02,الهنا,12 كيس,12.0,3.0
b01015,2026-02-07,"",502,ثلجه بوجه,01116850495,"",6.0,13,سجق شرقى 3 ك ابو هاشم كيس 3 كيلو,"",8.0,320.0,0.0,0.0,2560.0,false,2026-02,ابوهاشم,4 كيس,4.0,2.0
b01016,2026-02-07,"",552,الحاج م عبدالعزيز بوجه,"","",1.0,102,كفته الهنا 350 طبق,"",45.0,27.5,0.0,15.0,1051.87,false,2026-02,الهنا,15 كيس,15.0,3.0
b01016,2026-02-07,"",552,الحاج م عبدالعزيز بوجه,"","",2.0,101,كفته الهنا 800 جرام طبق,"",36.0,56.0,0.0,15.0,1713.6,false,2026-02,الهنا,12 كيس,12.0,3.0
b01016,2026-02-07,"",552,الحاج م عبدالعزيز بوجه,"","",3.0,104,برجر الهنا 400 جرام طبق,"",45.0,28.5,0.0,15.0,1090.12,false,2026-02,الهنا,15 كيس,15.0,3.0
b01016,2026-02-07,"",552,الحاج م عبدالعزيز بوجه,"","",4.0,120,برجر الهنا 900 جرام طبق,"",36.0,58.5,0.0,15.0,1790.1,false,2026-02,الهنا,12 كيس,12.0,3.0
b01017,2026-02-07,"",646,عبد ا عزت نصير البراء,01090065316,"",1.0,101,كفته الهنا 800 جرام طبق,"",24.0,56.0,0.0,15.0,1142.4,false,2026-02,الهنا,12 كيس,12.0,2.0
b01017,2026-02-07,"",646,عبد ا عزت نصير البراء,01090065316,"",2.0,102,كفته الهنا 350 طبق,"",60.0,27.5,0.0,15.0,1402.5,false,2026-02,الهنا,15 كيس,15.0,4.0
b01017,2026-02-07,"",646,عبد ا عزت نصير البراء,01090065316,"",3.0,108,سجق الهنا 350 طبق,"",30.0,30.0,0.0,15.0,765.0,false,2026-02,الهنا,15 كيس,15.0,2.0
b01017,2026-02-07,"",646,عبد ا عزت نصير البراء,01090065316,"",4.0,99,سجق الهنا 800 جرام طبق,"",12.0,61.0,0.0,15.0,622.2,false,2026-02,الهنا,12 كيس,12.0,1.0
b01018,2026-02-07,"",876,مطعم الدمشقى,01147216173,"",1.0,101,كفته الهنا 800 جرام طبق,"",36.0,56.0,0.0,13.0,1753.92,false,2026-02,الهنا,12 كيس,12.0,3.0
b01018,2026-02-07,"",876,مطعم الدمشقى,01147216173,"",2.0,346,بانيه 800 جرام طبق,"",24.0,50.0,0.0,0.0,1200.0,false,2026-02,الهنا,12 كيس,12.0,2.0
b01019,2026-02-07,"",502,ثلجه بوجه,01116850495,"",1.0,102,كفته الهنا 350 طبق,"",45.0,0.0,0.0,0.0,0.0,true,2026-02,الهنا,15 كيس,15.0,3.0
b01020,2026-02-07,"",877,مطعم نور الشام,"","",1.0,101,كفته الهنا 800 جرام طبق,"",96.0,56.0,0.0,13.0,4677.12,false,2026-02,الهنا,12 كيس,12.0,8.0
b01020,2026-02-07,"",877,مطعم نور الشام,"","",2.0,257,سجق الهنا 5 كيلو طبق,"",2.0,300.0,0.0,0.0,600.0,false,2026-02,الهنا,2 كيس,2.0,1.0
b01020,2026-02-07,"",877,مطعم نور الشام,"","",3.0,346,بانيه 800 جرام طبق,"",72.0,50.0,0.0,0.0,3600.0,false,2026-02,الهنا,12 كيس,12.0,6.0
b01021,2026-02-08,"",876,مطعم الدمشقى,01147216173,"",1.0,346,بانيه 800 جرام طبق,"",36.0,50.0,0.0,0.0,1800.0,false,2026-02,الهنا,12 كيس,12.0,3.0
b01022,2026-02-08,"",328,ابوسليم,01001164485,"",1.0,120,برجر الهنا 900 جرام طبق,"",120.0,58.5,0.0,17.0,5826.6,false,2026-02,الهنا,12 كيس,12.0,10.0
b01022,2026-02-08,"",328,ابوسليم,01001164485,"",2.0,101,كفته الهنا 800 جرام طبق,"",120.0,56.0,0.0,17.0,5577.6,false,2026-02,الهنا,12 كيس,12.0,10.0
b01022,2026-02-08,"",328,ابوسليم,01001164485,"",3.0,108,سجق الهنا 350 طبق,"",150.0,30.0,0.0,17.0,3735.0,false,2026-02,الهنا,15 كيس,15.0,10.0
b01022,2026-02-08,"",328,ابوسليم,01001164485,"",4.0,104,برجر الهنا 400 جرام طبق,"",150.0,28.5,0.0,17.0,3548.25,false,2026-02,الهنا,15 كيس,15.0,10.0
b01022,2026-02-08,"",328,ابوسليم,01001164485,"",5.0,102,كفته الهنا 350 طبق,"",150.0,27.5,0.0,17.0,3423.75,false,2026-02,الهنا,15 كيس,15.0,10.0
b01023,2026-02-08,"",698,عبد الظاهر بشنيتى,01012300801,"",1.0,108,سجق الهنا 350 طبق,"",255.0,30.0,0.0,17.0,6349.5,false,2026-02,الهنا,15 كيس,15.0,17.0
b01023,2026-02-08,"",698,عبد الظاهر بشنيتى,01012300801,"",2.0,104,برجر الهنا 400 جرام طبق,"",255.0,28.5,0.0,17.0,6032.02,false,2026-02,الهنا,15 كيس,15.0,17.0
b01023,2026-02-08,"",698,عبد الظاهر بشنيتى,01012300801,"",3.0,102,كفته الهنا 350 طبق,"",240.0,27.5,0.0,17.0,5478.0,false,2026-02,الهنا,15 كيس,15.0,16.0
b01023,2026-02-08,"",698,عبد الظاهر بشنيتى,01012300801,"",4.0,402,كفته اسبيشيال عائلى طبق,"",36.0,63.75,0.0,17.0,1904.85,false,2026-02,اسبشيال,12 كيس,12.0,3.0
b01023,2026-02-08,"",698,عبد الظاهر بشنيتى,01012300801,"",5.0,346,بانيه 800 جرام طبق,"",60.0,50.0,0.0,0.0,3000.0,false,2026-02,الهنا,12 كيس,12.0,5.0
b01024,2026-02-08,"",328,ابوسليم,01001164485,"",1.0,102,كفته الهنا 350 طبق,"",45.0,0.0,0.0,0.0,0.0,true,2026-02,الهنا,15 كيس,15.0,3.0
b01025,2026-02-08,"",698,عبد الظاهر بشنيتى,01012300801,"",1.0,102,كفته الهنا 350 طبق,"",45.0,0.0,0.0,0.0,0.0,true,2026-02,الهنا,15 كيس,15.0,3.0
b01051,2026-02-10,"",621,مطعم السوري,"","",1.0,398,بانيه 900 جرام اسباشيل كيس,"",20.0,55.0,0.0,0.0,1100.0,false,2026-02,اسبشيال,10 كيس,10.0,2.0
b01309,2026-03-10,"",914,السندباد انور سلم,"","",1.0,404,برجر اسبشيال عائلى طبق,"",120.0,58.44,0.0,0.0,7012.8,false,2026-03,اسبشيال,12 كيس,12.0,10.0
b01309,2026-03-10,"",914,السندباد انور سلم,"","",2.0,403,برجر اسبشيال صغير طبق,"",150.0,25.5,0.0,0.0,3825.0,false,2026-03,اسبشيال,15 كيس,15.0,10.0
b01309,2026-03-10,"",914,السندباد انور سلم,"","",3.0,402,كفته اسبيشيال عائلى طبق,"",60.0,54.17,0.0,0.0,3250.2,false,2026-03,اسبشيال,12 كيس,12.0,5.0
b01309,2026-03-10,"",914,السندباد انور سلم,"","",4.0,399,كفته اسبيشيال صغير طبق,"",75.0,23.38,0.0,0.0,1753.5,false,2026-03,اسبشيال,15 كيس,15.0,5.0
b0145,2026-01-04,"",782,ثلجة المسلم,01148049273,"",1.0,120,برجر الهنا 900 جرام طبق,"",120.0,58.5,0.0,15.0,5967.0,false,2026-01,الهنا,12 كيس,12.0,10.0
b0146,2026-01-03,"",721,ثلجة شغلهم,01009283600,"",1.0,104,برجر الهنا 400 جرام طبق,"",75.0,28.5,0.0,17.0,1774.12,false,2026-01,الهنا,15 كيس,15.0,5.0
b0146,2026-01-03,"",721,ثلجة شغلهم,01009283600,"",2.0,120,برجر الهنا 900 جرام طبق,"",36.0,58.5,0.0,17.0,1747.98,false,2026-01,الهنا,12 كيس,12.0,3.0
b0147,2026-01-04,"",778,المصطفى كفر حكيم,"","",1.0,346,بانيه 800 جرام طبق,"",72.0,52.0,0.0,0.0,3744.0,false,2026-01,الهنا,12 كيس,12.0,6.0
b0147,2026-01-04,"",778,المصطفى كفر حكيم,"","",2.0,262,بانيه 900 جرام طبق,"",40.0,55.0,0.0,0.0,2200.0,false,2026-01,الهنا,10 كيس,10.0,4.0
b0147,2026-01-04,"",778,المصطفى كفر حكيم,"","",3.0,8,كفته 350 جم ابو هاشم طبق,"",20.0,40.0,0.0,0.0,800.0,false,2026-01,ابوهاشم,20 كيس,20.0,1.0
b0147,2026-01-04,"",778,المصطفى كفر حكيم,"","",4.0,255,برجر ابو هاشم جامبو 1.5 كيلو طبق,"",18.0,170.0,0.0,0.0,3060.0,false,2026-01,ابوهاشم,9 كيس,9.0,2.0
b0147,2026-01-04,"",778,المصطفى كفر حكيم,"","",5.0,102,كفته الهنا 350 طبق,"",15.0,27.5,0.0,15.0,350.62,false,2026-01,الهنا,15 كيس,15.0,1.0
b0147,2026-01-04,"",778,المصطفى كفر حكيم,"","",6.0,120,برجر الهنا 900 جرام طبق,"",12.0,58.5,0.0,15.0,596.7,false,2026-01,الهنا,12 كيس,12.0,1.0
b0148,2026-01-07,"",1,عميل نقدى,01000650067,"",1.0,299,جلد فراخ طبق,"",15.0,26.0,0.0,0.0,390.0,false,2026-01,ابوهاشم,,,
b0149,2026-01-10,"",1,عميل نقدى,01000650067,"",1.0,33,كيلو مفروم هندى كيلو,"",5.0,210.0,0.0,0.0,1050.0,false,2026-01,ابوهاشم,,,
b0149,2026-01-10,"",1,عميل نقدى,01000650067,"",2.0,20,كيلو اسكندرانى طبق,"",6.0,165.0,0.0,0.0,990.0,false,2026-01,ابوهاشم,,,
b0150,2026-01-12,"",745,الحسين ماركت,"","",1.0,1,مفروم صافى 400 جم طبق,"",20.0,80.0,0.0,0.0,1600.0,false,2026-01,ابوهاشم,20 علبة,20.0,1.0
b01601,2026-02-03,"",388,ثلجه احمد صيام,01015442314,"",1.0,403,برجر اسبشيال صغير طبق,"",30.0,30.0,0.0,17.0,747.0,false,2026-02,اسبشيال,15 كيس,15.0,2.0
b01601,2026-02-03,"",388,ثلجه احمد صيام,01015442314,"",2.0,399,كفته اسبيشيال صغير طبق,"",45.0,27.5,0.0,17.0,1027.12,false,2026-02,اسبشيال,15 كيس,15.0,3.0
b01601,2026-02-03,"",388,ثلجه احمد صيام,01015442314,"",3.0,404,برجر اسبشيال عائلى طبق,"",24.0,68.75,0.0,17.0,1369.5,false,2026-02,اسبشيال,12 كيس,12.0,2.0
b01602,2026-02-07,"",3,السرجانى,01002686668,"",1.0,1,مفروم صافى 400 جم طبق,"",80.0,80.0,0.0,0.0,6400.0,false,2026-02,ابوهاشم,20 علبة,20.0,4.0
b01602,2026-02-07,"",3,السرجانى,01002686668,"",2.0,2,كبده اسكندرانى 400 طبق,"",80.0,73.0,0.0,0.0,5840.0,false,2026-02,ابوهاشم,20 علبة,20.0,4.0
b01602,2026-02-07,"",3,السرجانى,01002686668,"",3.0,8,كفته 350 جم ابو هاشم طبق,"",20.0,40.0,0.0,0.0,800.0,false,2026-02,ابوهاشم,20 كيس,20.0,1.0
b01602,2026-02-07,"",3,السرجانى,01002686668,"",4.0,7,سجق 350 جم ابو هاشم طبق,"",20.0,45.0,0.0,0.0,900.0,false,2026-02,ابوهاشم,20 كيس,20.0,1.0
b01602,2026-02-07,"",3,السرجانى,01002686668,"",5.0,114,كفته ابو هاشم 800 طبق,"",16.0,90.0,0.0,0.0,1440.0,false,2026-02,ابوهاشم,16 كيس,16.0,1.0
b01602,2026-02-07,"",3,السرجانى,01002686668,"",6.0,107,سجق 800 ابو هاشم طبق,"",16.0,95.0,0.0,0.0,1520.0,false,2026-02,ابوهاشم,16 كيس,16.0,1.0
b01602,2026-02-07,"",3,السرجانى,01002686668,"",7.0,43,بفتيك 400 جم طبق,"",15.0,105.0,0.0,0.0,1575.0,false,2026-02,ابوهاشم,20 كيس,20.0,0.75
b01602,2026-02-07,"",3,السرجانى,01002686668,"",8.0,11,شاورما 400 جم طبق,"",15.0,100.0,0.0,0.0,1500.0,false,2026-02,ابوهاشم,20 كيس,20.0,0.75
b01603,2026-02-07,"",1,عميل نقدى,01000650067,"",1.0,33,كيلو مفروم هندى كيلو,"",0.5,220.0,0.0,0.0,110.0,false,2026-02,ابوهاشم,,,
b01604,2026-02-08,"",3,السرجانى,01002686668,"",1.0,2,كبده اسكندرانى 400 طبق,"",1.0,0.0,0.0,0.0,0.0,true,2026-02,ابوهاشم,20 علبة,20.0,0.05
b01607,2026-02-09,"",47,سامح توفيق,01000650067,"",1.0,13,سجق شرقى 3 ك ابو هاشم كيس 3 كيلو,"",52.0,310.0,0.0,0.0,16120.0,false,2026-02,ابوهاشم,4 كيس,4.0,13.0
b01669,2026-03-05,"",913,ناجى السويس,01099025877,"",1.0,404,برجر اسبشيال عائلى طبق,"",2.0,0.0,0.0,0.0,0.0,false,2026-03,اسبشيال,12 كيس,12.0,0.16666666666666666
b01669,2026-03-05,"",913,ناجى السويس,01099025877,"",2.0,402,كفته اسبيشيال عائلى طبق,"",2.0,0.0,0.0,0.0,0.0,false,2026-03,اسبشيال,12 كيس,12.0,0.16666666666666666
b01670,2026-03-07,"",875,منفذ رمسيس ايمن فارس,01151029095,"",1.0,404,برجر اسبشيال عائلى طبق,"",24.0,68.75,0.0,18.0,1353.0,false,2026-03,اسبشيال,12 كيس,12.0,2.0
b01670,2026-03-07,"",875,منفذ رمسيس ايمن فارس,01151029095,"",2.0,402,كفته اسبيشيال عائلى طبق,"",24.0,63.75,0.0,18.0,1254.6,false,2026-03,اسبشيال,12 كيس,12.0,2.0
b01670,2026-03-07,"",875,منفذ رمسيس ايمن فارس,01151029095,"",3.0,420,برجر الهنا 800 جرام طبق,"",24.0,52.0,0.0,15.0,1060.8,false,2026-03,الهنا,12 كيس,12.0,2.0
b01670,2026-03-07,"",875,منفذ رمسيس ايمن فارس,01151029095,"",4.0,101,كفته الهنا 800 جرام طبق,"",24.0,56.0,0.0,15.0,1142.4,false,2026-03,الهنا,12 كيس,12.0,2.0
b01670,2026-03-07,"",875,منفذ رمسيس ايمن فارس,01151029095,"",5.0,422,بانيه 700 جرام طبق,"",24.0,47.0,0.0,0.0,1128.0,false,2026-03,الهنا,12 كيس,12.0,2.0
b01670,2026-03-07,"",875,منفذ رمسيس ايمن فارس,01151029095,"",6.0,397,بانيه 800 جرام اسباشيل كيس,"",24.0,50.0,0.0,0.0,1200.0,false,2026-03,اسبشيال,12 كيس,12.0,2.0
b0629,2026-01-01,"",875,منفذ رمسيس ايمن فارس,01151029095,"",1.0,420,برجر الهنا 800 جرام طبق,"",24.0,52.0,0.0,15.0,1060.8,false,2026-01,الهنا,12 كيس,12.0,2.0
b0629,2026-01-01,"",875,منفذ رمسيس ايمن فارس,01151029095,"",2.0,104,برجر الهنا 400 جرام طبق,"",30.0,28.5,0.0,15.0,726.75,false,2026-01,الهنا,15 كيس,15.0,2.0
b0629,2026-01-01,"",875,منفذ رمسيس ايمن فارس,01151029095,"",3.0,101,كفته الهنا 800 جرام طبق,"",12.0,56.0,0.0,15.0,571.2,false,2026-01,الهنا,12 كيس,12.0,1.0
b0629,2026-01-01,"",875,منفذ رمسيس ايمن فارس,01151029095,"",4.0,422,بانيه 700 جرام طبق,"",60.0,44.0,0.0,0.0,2640.0,false,2026-01,الهنا,12 كيس,12.0,5.0
b0630,2026-01-03,"",784,جزارة السعيد م سعيد,01065848101,"",1.0,399,كفته اسبيشيال صغير طبق,"",15.0,27.5,0.0,18.0,338.25,false,2026-01,اسبشيال,15 كيس,15.0,1.0
b0630,2026-01-03,"",784,جزارة السعيد م سعيد,01065848101,"",2.0,403,برجر اسبشيال صغير طبق,"",15.0,30.0,0.0,18.0,369.0,false,2026-01,اسبشيال,15 كيس,15.0,1.0
b0630,2026-01-03,"",784,جزارة السعيد م سعيد,01065848101,"",3.0,13,سجق شرقى 3 ك ابو هاشم كيس 3 كيلو,"",40.0,320.0,0.0,0.0,12800.0,false,2026-01,ابوهاشم,4 كيس,4.0,10.0
b0631,2026-01-04,"",897,منافذ المنصوره,"","",1.0,420,برجر الهنا 800 جرام طبق,"",24.0,52.0,0.0,15.0,1060.8,false,2026-01,الهنا,12 كيس,12.0,2.0
b0631,2026-01-04,"",897,منافذ المنصوره,"","",2.0,101,كفته الهنا 800 جرام طبق,"",24.0,56.0,0.0,15.0,1142.4,false,2026-01,الهنا,12 كيس,12.0,2.0
b0631,2026-01-04,"",897,منافذ المنصوره,"","",3.0,422,بانيه 700 جرام طبق,"",24.0,44.0,0.0,0.0,1056.0,false,2026-01,الهنا,12 كيس,12.0,2.0
b0632,2026-01-04,"",897,منافذ المنصوره,"","",1.0,420,برجر الهنا 800 جرام طبق,"",24.0,52.0,0.0,15.0,1060.8,false,2026-01,الهنا,12 كيس,12.0,2.0
b0632,2026-01-04,"",897,منافذ المنصوره,"","",2.0,101,كفته الهنا 800 جرام طبق,"",24.0,56.0,0.0,15.0,1142.4,false,2026-01,الهنا,12 كيس,12.0,2.0
b0632,2026-01-04,"",897,منافذ المنصوره,"","",3.0,422,بانيه 700 جرام طبق,"",24.0,44.0,0.0,0.0,1056.0,false,2026-01,الهنا,12 كيس,12.0,2.0
b0633,2026-01-04,"",899,ثلجه النقيب ايمن فارس,01207003395,"",1.0,404,برجر اسبشيال عائلى طبق,"",12.0,68.75,0.0,18.0,676.5,false,2026-01,اسبشيال,12 كيس,12.0,1.0
b0633,2026-01-04,"",899,ثلجه النقيب ايمن فارس,01207003395,"",2.0,403,برجر اسبشيال صغير طبق,"",15.0,30.0,0.0,18.0,369.0,false,2026-01,اسبشيال,15 كيس,15.0,1.0
b0633,2026-01-04,"",899,ثلجه النقيب ايمن فارس,01207003395,"",3.0,399,كفته اسبيشيال صغير طبق,"",15.0,27.5,0.0,18.0,338.25,false,2026-01,اسبشيال,15 كيس,15.0,1.0
